Official Name,NORAD Number,Nation,Operator,Users,Application,Detailed Purpose,Orbit,Class of Orbit,Type of Orbit,Period (minutes),Mass (kg),COSPAR Number,Date of Launch,Expected Lifetime (yrs),Equipment,Describe
Hisea-1 (TY-MINISAR-1),47297,China,Spacety,Commercial,Earth Observation,Radar Imaging,"502km × 511km, 97.4°",LEO,Sun-Synchronous,94.8,180,2020-102B,22/12/2020,,,
Hispasat 1D ,27528,Spain,Hispasat,Government/Commercial/Military,Communications,,"35764km × 35809km, 0.02°",GEO,,1436.11,"3,288",2002-044A,18/09/2002,15,,"Fourth of Spain's communications satellites with government, commercial and military application; X-band heavily used; 28 Ku-band transponders."
Hispasat 1E,37264,Spain,Hispasat,Commercial,Communications,,"35782km × 35786km, 0.07°",GEO,,1435.95,"5,320",2010-070A,29/12/2010,15,,63 Ku-band transponders and a Ka-band capability.
Hispasat 30W-6 (Hispasat 1F),43228,Spain,Hispasat,Commercial,Communications,,"35786km × 35788km, 0°",GEO,,1436.11,"6,100",2018-023A,06/03/2018,15,,"Forty Ku-band, 10 C-band, 7 Ka-band transponders. "
Hispasat 36W-1 (Hispasat AG1),41942,Spain,Hispasat,Commercial,Communications,,"35783km × 35791km, 0°",GEO,,1436.1,"3,220",2017-006A,28/01/2017,15,,First GEO satellite built in Germany in 20 years.
HJ-1A (Huan Jing 1A),33320,China,National Remote Sensing Center (NRSCC),Government,Earth Observation,Optical Imaging,"628km × 665km, 97.8°",LEO,Sun-Synchronous,97.7,470,2008-041A,05/09/2008,3,,Monitors environment and natural disasters.
HJ-1B (Huan Jing 1B),33321,China,National Remote Sensing Center (NRSCC),Government,Earth Observation,Optical Imaging,"621km × 673km, 97.8°",LEO,Sun-Synchronous,97.7,470,2008-041B,05/09/2008,3,,Monitors environment and natural disasters.
HJ-1C (Huan Jing 1C),38997,China,National Committee for Disaster Reduction and State Environmental Protection,Government,Earth Observation,Radar Imaging,"420km × 438km, 97.33°",LEO,Sun-Synchronous,94.53,890,2012-064A,18/11/2012,3,,Monitors environment and natural disasters.
HJ-2A (Huan Jing-2A) ,46478,China,China Centre for Resources Satellite Data and Application (CRESDA),Government,Earth Observation,,"602km × 653km, 97.9°",LEO,Sun-Synchronous,95,,2020-067A,27/09/2020,,,Will replace HJ-1 and HJ-2 launched in 2008.
HJ-2B (Huan Jing-2B) ,46479,China,China Centre for Resources Satellite Data and Application (CRESDA),Government,Earth Observation,,"598km × 654km, 97.9°",LEO,Sun-Synchronous,95,,2020-067B,27/09/2020,,,
Hodoyoshi-1 ,40299,Japan,University of Tokyo and NESTRA,Government,Earth Observation,Optical Imaging,"506km × 525km, 97.48°",LEO,Sun-Synchronous,94.93,65,2014-070B,06/11/2014,,,Produce medium-high resolution Earth images.
Hodoyoshi-3,40015,Japan,University of Tokyo and NESTRA,Government,Technology Development,,"613km × 666km, 97.98°",LEO,Sun-Synchronous,97.51,60,2014-033F,19/06/2014,,,Accelerate the technology development and practical utilization of micro/nano-satellites.
Hodoyoshi-4,40011,Japan,University of Tokyo and NESTRA,Government,Technology Development,,"613km × 650km, 97.99°",LEO,Sun-Synchronous,97.35,60,2014-033B,19/06/2014,,,
Hongyan-1 (Chongqing),43914,China,China Aerospace Science and Technology Corporation (CASC),Government,Communications,,"1090km × 1098km, 50°",LEO,Non-Polar Inclined,107.1,,2018-112F,29/12/2018,,,Planned LEO communications constellation. Will test L-band and Ka-band communications technologies in orbit.
Hongyun-1 (Hongyun Gongcheng JYW),43871,China,China Aerospace Science and Industry Corporation (CASIC),Commercial,Technology Development,,"1061km × 1077km, 99.92°",LEO,Sun-Synchronous,106.59,,2018-108A,21/12/2018,,,First of a planned broadband constellation of 156 satellites. This satellite will verify technologies.
Horizons 2,32388,USA/Japan,"Horizons 2 Satellite, LLC (Intelsat, Sky Perfect JSAT Corporation)",Commercial,Communications,,"35777km × 35796km, 0°",GEO,,1436.1,"2,300",2007-063B,21/12/2007,15,,"Joint venture between Intelsat and JSAT; 20 Ku-band transponders, services to the US, Canada and Japan."
Horizons 3e,43633,USA/Japan,"Horizons 2 Satellite, LLC (Intelsat, Sky Perfect JSAT Corporation)",Commercial,Communications,,"35789km × 35798km, 0°",GEO,,1436.1,"6,500",2018-074B,25/09/2018,15,,Aeronautical and maritime mobility services in Pacific Northwest and North America.
Horyu-2 (High Voltage Technology Demonstration Satellite-2),38340,Japan,Kyushu Institute of Technology (KIT),Civil,Technology Development,,"650km × 669km, 98.2°",LEO,Sun-Synchronous,97.9,7,2012-025D,17/05/2012,1,,To test an experimental high-voltage solar array system and observe spacecraft charging effects caused by it; also provide ground communication for junior/senor high school students as amateur radio.
HSAT-1,43720,USA,Harris Corporation,Commercial,Communications,,"476km × 500km, 97.4°",LEO,Sun-Synchronous,95,4,2018-096B,29/11/2018,,,Test deployable antenna design for potential use on future smallsats.
Huangpu-1,44705,China,Shanghai Lizheng Satellite Application Technology,Commercial,Communications,,"485km × 504km, 97.5°",LEO,Sun-Synchronous,94.5,50,2019-072C,03/11/2019,,,First of a planned 90-satellite communications constellation
"Hubble Space Telescope (HST, Space Telescope)",20580,ESA/USA,European Space Agency (ESA)/NASA,Government,Space Science,,"555km × 559km, 28.5°",LEO,Non-Polar Inclined,95.8,"11,110",1990-037B,25/04/1990,10,,Exploration of space.
Huia'an (Zhou Enlai),43156,China,Huaian Youth Comprehensive Development Base,Civil,Technology Development,,"529km × 547km, 97.5°",LEO,Sun-Synchronous,95.4,3,2018-008B,18/01/2018,,,Student education.
Huskysat-1,45119,USA,University of Washington,Civil,Technology Development,,"459km × 474km, 51.6°",LEO,Non-Polar Inclined,93.9,5,2019-071J,31/01/2020,,,Demonstrate on-board plasma propulsion and high-gain telemetry for LEO that would be a precursor for an attempt at a larger cubesat designed for orbital insertion at the moon.
"HXMT (Hard X-ray Modulation Telescope, Insight)",42758,China,National Space Science Center (NSSC),Government,Space Science,,"536km × 545km, 43.02°",LEO,Non-Polar Inclined,95.4,"2,500",2017-034A,15/06/2017,4,,Carries three x-ray telescopes observing at energies ranging from 20 to 200 kilo-electron volts as well as an instrument to monitor the space environment.
HYLAS 4 (Highly Adaptable Satellite),43272,United Kingdom,"Avanti Communications, PLC",Commercial,Communications,,"35778km × 35795km, 0°",GEO,,1436.1,"4,050",2018-033B,05/04/2018,15,,High speed broadcast service.
HYLAS 1 (Highly Adaptable Satellite),37237,United Kingdom,"Avanti Communications, PLC",Commercial,Communications,,"35770km × 35803km, 0.01°",GEO,,1436.07,"2,242",2010-065A,26/11/2010,15,,Stated goal of providing broadband internet access to people in the areas hardest to reach by terrestrial connectivity means
HYLAS 2 (Highly Adaptable Satellite),38741,United Kingdom,"Avanti Communications, PLC",Commercial,Communications,,"35775km × 35799km, 0.06°",GEO,,1436.14,"3,311",2012-043B,02/08/2012,15,,"24 fixed beams and one steerable beam, pioneering Ka-band technology. High speed data capacity across southern and Eastern Africa, the Middle East and the Caucasus."
HySIS (Hyperspectral Imaging Satellite),43719,India,Indian Space Research Organization (ISRO),Government,Earth Observation,Hyperspectral Imaging,"647km × 648km, 98°",LEO,Sun-Synchronous,95,380,2018-096A,29/11/2018,5,,"Earth-facing imager capable of collecting data at 316 bands across the visible, near-infrared and shortwave infrared spectra."
Icesat-2,43613,USA,National Aeronautics and Space Administration (NASA),Government,Earth Science,Laser Imaging,"455km × 468km, 93.02°",LEO,Polar,93.8,"1,515",2018-070A,15/09/2018,3,,Will measure depth of ice with lasers from space.
ICEYE-X2 (ICEYE POC 2),43800,Finland,ICEYE Ltd.,Commercial,Earth Observation,Radar Imaging,"570km × 587km, 97.7°",LEO,Sun-Synchronous,96.3,80,2018-099AU,03/12/2018,,,X-band synthetic radar aperture microsatellite.
ICEYE-X3 (ICEYE POC 3),44229,USA,US Army Space and Missile Defense Command,Military,Technology Development,Radar Imaging,"498km × 510km, 40.02°",LEO,Non-Polar Inclined,94.7,150,2019-026E,05/05/2019,,,Synthetic aperture radar for all-weather Earth observation and a high-data-rate communications link to transmit the radar imagery to users on the ground.
ICEYE-X4 (ICEYE POC 4),44390,Finland,ICEYE Ltd.,Commercial,Earth Observation,Radar Imaging,"564km × 594km, 97.7°",LEO,Sun-Synchronous,96.2,80,2019-038D,05/07/2019,,,
ICEYE-X5 (ICEYE POC 5),44389,Finland,ICEYE Ltd.,Commercial,Earth Observation,Radar Imaging,"564km × 590km, 97.7°",LEO,Sun-Synchronous,96.2,80,2019-038C,05/07/2019,,,
ICEYE-X6 (ICEYE POC 6),46497,Finland,ICEYE Ltd.,Commercial,Earth Observation,Radar Imaging,"549km × 568km, 97.7°",LEO,Sun-Synchronous,95.8,80,2020-068M,28/09/2020,,,
ICEYE-X7 (ICEYE POC 7),46496,Finland,ICEYE Ltd.,Commercial,Earth Observation,Radar Imaging,"549km × 567km, 97.7°",LEO,Sun-Synchronous,95.8,80,2020-068L,28/09/2020,,,
ICON (Ionospheric Connection Explorer) ,44628,USA,National Aeronautics and Space Administration (NASA),Government,Space Science,,"579km × 601km, 27°",LEO,Non-Polar Inclined,96.5,288,2019-068A,11/10/2019,,,Will conduct space research on ionosphere.
"IGS Optical 5 (IGS-9B, Information Gathering Satellite 9B)",40538,Japan,Cabinet Satellite Intelligence Center (CSIC),Government,Earth Observation,Optical Imaging,"511km × 515km, 97.5°",LEO,Sun-Synchronous,95.2,"1,600",2015-015A,26/03/2015,5,,Optical reconnaissance.
"IGS Optical 6 (IGS-10B, Information Gathering Satellite 10B)",43223,Japan,Cabinet Satellite Intelligence Center (CSIC),Government,Earth Observation,Optical Imaging,"485km × 499km, 97.2°",LEO,Sun-Synchronous,94.5,"1,600",2018-021A,26/02/2018,5,,Optical reconnaissance.
IGS Optical 7 (IGS-11B Information Gathering Satellite 14),45165,Japan,Cabinet Satellite Intelligence Center (CSIC),Government,Earth Observation,Optical Imaging,"487km × 493km, 97.4°",LEO,Sun-Synchronous,94.4,"1,600",2020-009A,09/02/2020,5,,Optical reconnaissance.
IGS Radar 5 (Information Gathering Satellite 10A),42072,Japan,Cabinet Satellite Intelligence Center (CSIC),Government,Earth Observation,Radar Imaging,"485km × 499km, 97.2°",LEO,Sun-Synchronous,94.5,"1,600",2017-015A,16/03/2017,5,,Radar reconnaissance.
"IGS Radar 6 (Information Gathering Satellite 6, IGS Radar 6)",43495,Japan,Cabinet Satellite Intelligence Center (CSIC),Government,Earth Observation,Radar Imaging,"500km × 500km, 97.3°",LEO,Sun-Synchronous,94.6,"1,600",2018-052A,12/06/2018,5,,Radar reconnaissance.
"IGS-5A (Information Gathering Satellite 5A, IGS Optical 3)",36104,Japan,Cabinet Satellite Intelligence Center (CSIC),Government,Earth Observation,Optical Imaging,"484km × 492km, 97.31°",LEO,Sun-Synchronous,94.37,"1,600",2009-066A,28/11/2009,5,,Optical reconnaissance.
"IGS-6A (Information Gathering Satellite 6A, IGS Optical 4)",37813,Japan,Cabinet Satellite Intelligence Center (CSIC),Government,Earth Observation,Optical Imaging,"588km × 591km, 97.69°",LEO,Sun-Synchronous,96.47,"1,600",2011-050A,23/09/2011,5,,Radar reconnaissance.
"IGS-7A (Information Gathering Satellite 7A, IGS Radar 3)",37954,Japan,Cabinet Satellite Intelligence Center (CSIC),Government,Earth Observation,Radar Imaging,"512km × 514km, 97.46°",LEO,Sun-Synchronous,94.89,"1,600",2011-075A,12/12/2011,5,,Radar reconnaissance.
"IGS-8A (Information Gathering Satellite 8A, IGS Radar 4)",39061,Japan,Cabinet Satellite Intelligence Center (CSIC),Government,Earth Observation,Radar Imaging,"509km × 514km, 97.5°",LEO,Sun-Synchronous,94.85,"1,600",2013-002A,27/01/2013,5,,Radar reconnaissance.
"IGS-8B (Information Gathering Satellite 8B, IGS Optical 5 Demonstrator)",39062,Japan,Cabinet Satellite Intelligence Center (CSIC),Government,Earth Observation,Optical Imaging,"512km × 523km, 97.5°",LEO,Sun-Synchronous,94.85,"1,600",2013-002B,27/01/2013,5,,Optical demonstration satellite.
"IGS-9A (Information Gathering Satellite 9A, IGS Radar Spare)",40381,Japan,Cabinet Satellite Intelligence Center (CSIC),Government,Earth Observation,Radar Imaging,"510km × 510km, 97.5°",LEO,Sun-Synchronous,94.85,"1,600",2015-004A,31/01/2015,5,,Radar reconnaissance.
"Improved Trumpet 4 (NROL-22, National Reconnaissance Office Launch-22, SBIRS HEO-1, Twins 1, USA 184)",29249,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,"1111km × 37564km, 63°",Elliptical,Molniya,684,"4,000",2006-027A,28/06/2006,,,Speculation on purpose - HEO indicates possible SBIRS-HEO test payload; may also carry NASA's TWINS-A science payload to map the Earth's magnetosphere.
"Improved Trumpet 5 (NROL-28, National Reconnaissance Office Launch-28, SBIRS HEO-2, Twins 2, USA 200)",32706,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,"1112km × 37580km, 63.56°",Elliptical,Molniya,684,"4,200",2008-010A,13/03/2008,,,Reported to be carrying signals intelligence and early warning payloads.
"Improved Trumpet 6 (NROL-35, National Reconnaissance Office Launch-35, SBIRS HEO-3, USA 259)",40344,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,"2103km × 37746km, 62.85°",Elliptical,Molniya,707.55,"4,200",2014-081A,13/12/2014,,,"NROL-35 will not carry a TWINS payload, it is likely that it will play host to the third SBIRS-HEO instrument."
"Improved Trumpet 7 (NROL-42, National Reconnaissance Office Launch-42, SBIRS HEO-4, USA 278)",42941,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,"1738km × 38111km, 63.8°",Elliptical,Molniya,707.7,"8,000",2017-056A,24/09/2017,,,
INMARSAT 3 F3 ,24674,United Kingdom,"INMARSAT, Ltd.",Commercial,Communications,,"35761km × 35810km, 0.09°",GEO,,1436.07,"2,074",1996-070A,18/12/1996,13,,"Broadcasting, business services, mobile communications; demand assigned L-band transponders; Pacific Ocean region."
INMARSAT 3 F5 ,25153,United Kingdom,"INMARSAT, Ltd.",Commercial,Communications,,"35769km × 35803km, 0.04°",GEO,,1436.07,"2,000",1998-006B,04/02/1998,13,,"Broadcasting, business services, mobile communications; demand assigned L-band transponders; back-up and leased-capacity."
INMARSAT 4 F1,28628,United Kingdom,"INMARSAT, Ltd.",Commercial,Communications,,"35772km × 35799km, 2.3°",GEO,,1436.08,"5,959",2005-009A,11/03/2005,15,,Nearly the size of a double-decker bus; more than 600 channels.
INMARSAT 4 F2,28899,United Kingdom,"INMARSAT, Ltd.",Commercial,Communications,,"35773km × 35800km, 2.33°",GEO,,1436.11,"5,458",2005-044A,08/11/2005,15,,Nearly the size of a double-decker bus; more than 600 channels.
INMARSAT 4 F3,33278,United Kingdom,"INMARSAT, Ltd.",Commercial,Communications,,"35775km × 35798km, 3.01°",GEO,,1436.1,"5,960",2008-039A,18/08/2008,15,,"200 spot-beams to relay messages from mobile phones based on land, sea, or air."
INMARSAT 5 F1,39476,United Kingdom,"INMARSAT, Ltd.",Commercial,Communications,,"35784km × 35790km, 0.06°",GEO,,1436.13,"6,070",2013-073A,08/12/2013,15,,"Support for the Broadband Global Area Network (B-GAN) for internet and intranet use, video on demand, video-conferencing, fax, e-mail, telephone and high-speed LAN access."
INMARSAT 5 F2,40384,United Kingdom,"INMARSAT, Ltd.",Commercial,Communications,,"35784km × 35789km, 0.03°",GEO,,1436,"6,105",2015-005A,01/02/2015,15,,
INMARSAT 5 F3,40882,United Kingdom,"INMARSAT, Ltd.",Commercial,Communications,,"35780km × 35780km, 0°",GEO,,1436.1,"6,100",2015-042A,28/08/2015,15,,Part of Global Xpress segment.
INMARSAT 5 F4,42698,United Kingdom,"INMARSAT, Ltd.",Commercial,Communications,,"35782km × 35789km, 0°",GEO,,1436.08,"6,086",2017-025A,15/05/2017,15,,4th satellite in Global Xpress system.
INMARSAT 5 F5,44801,United Kingdom,"INMARSAT, Ltd.",Commercial,Communications,,"35672km × 35686km, 0.08°",GEO,,1430,"4,007",2019-080B,26/11/2019,15,,
INMARSAT IV-A F4 (Alphasat I-XL),39215,United Kingdom/ESA,"INMARSAT, Ltd./European Space Agency (ESA)",Government/Commercial,Communications/Technology Development,,"35786km × 35787km, 0.02°",GEO,,1436.09,"6,650",2013-038A,25/07/2013,15,,Partnership between INMARSAT and ESA. Expands INMARSAT's communications and carries 4 technology demonstration packages.
INNOSat-2 (Innovation Satellite-2),43738,Malaysia,Astronautic Technology Sdn. Bhd (ATSB),Government,Technology Development,,"476km × 500km, 97.5°",LEO,Sun-Synchronous,95,4,2018-096V,29/11/2018,,,
INS-1A (ISRO Nano Satellite),41949,India,Indian Space Research Organization (ISRO),Government,Earth Observation,Optical Imaging,"496km × 508km, 97.5°",LEO,Sun-Synchronous,94.6,8,2017-008B,15/02/2017,,,"Observe Earth's surface, atmosphere and the conditions in the harsh environment of space."
INS-1B (ISRO Nano Satellite),41954,India,Indian Space Research Organization (ISRO),Government,Earth Observation,Optical Imaging,"496km × 508km, 97.5°",LEO,Sun-Synchronous,94.6,8,2017-008G,15/02/2017,,,"Observe Earth's surface, atmosphere and the conditions in the harsh environment of space."
INS-1C (ISRO Nano Satellite),43116,India,Indian Space Research Organization (ISRO),Government,Technology Development,,"495km × 508km, 97.5°",LEO,Sun-Synchronous,94.6,5,2018-004F,11/01/2018,0.5,,Development of a platform for multiple uses.
INSAT 3D (Indian National Satellite),39216,India,Indian Space Research Organization (ISRO),Government,Earth Observation,Meteorology,"35782km × 35791km, 0.24°",GEO,,1436.09,"2,090",2013-038B,25/07/2013,,,Advanced meteorological payloads plus a Data Relay Transponder and a Satellite Aided Search & Rescue payload
INSAT 3DR (Indian National Satellite),41752,India,Indian Space Research Organization (ISRO),Government,Earth Observation,Meteorology,"35722km × 35851km, 0.03°",GEO,,1436.1,"2,200",2016-054A,08/09/2016,10,,"Carries color and infrared cameras to image storms day and night, and a sounder to collect temperature, humidity and ozone data in different layers of the atmosphere. The satellite will also relay observations from remote weather station and ocean buoys to forecast centers, and monitor for distress signals from ships, airplanes and others in need of rescue."
INSAT 4B (Indian National Satellite),30793,India,Indian Space Research Organization (ISRO),Government,Communications,,"35760km × 35811km, 0.04°",GEO,,1436.08,"3,028",2007-007A,11/03/2007,,,"Television and telecommunications services; 12 Ku-band and 12 C-band transponders, Indian sub-continent."
INSAT 4CR (Indian National Satellite),32050,India,Indian Space Research Organization (ISRO),Government,Communications,,"37782km × 37791km, 0.03°",GEO,,1436.11,"2,130",2007-037A,02/09/2007,12,,"12 high-power Ku-band transponders designed to provide Direct-to-home (DTH) television services, Video Picture Transmission (VPT) and Digital Satellite News Gathering (DSNG)."
Integral (INTErnational Gamma-Ray Astrophysics Laboratory),27540,ESA/USA/Russia,European Space Operations Centre (ESOC)/NASA/Russia,Government,Space Science,,"6292km × 156833km, 53.95°",Elliptical,Deep Highly Eccentric,"4,032.86","4,000",2002-048A,17/10/2002,2,,Astronomical satellite for observing the gamma-ray sky.
Intelsat 10 (PAS-10),26766,USA,PanAmSat (Intelsat S.A.),Commercial,Communications,,"35776km × 35796km, 0.04°",GEO,,1436.08,"3,739",2001-019A,14/05/2001,15,,"Direct-to-home video channels; 24 C-band, 24 Ku-band; Asia, Africa, Middle East, Europe."
Intelsat 10-02 (Thor 4),28358,USA,Intelsat S.A.,Commercial,Communications,,"35783km × 35789km, 0.02°",GEO,,1436.08,"5,576",2004-022A,16/06/2004,13,,"Television, data, and other telecommunication services to Europe, Africa and the Middle East; 36 Ku-band, 70 C-band transponders."
Intelsat 11 (PAS 11),32253,USA,PanAmSat (Intelsat S.A.),Commercial,Communications,,"35778km × 35795km, 0.03°",GEO,,1436.1,"2,491",2007-044B,05/10/2007,15,,"25 C-band, 18 Ku-band transponders, services to Latin America."
"Intelsat 12 (Europe*Star 1, Europe*Star FM1, IS-12, PAS-12)",26590,USA,Intelsat S.A.,Commercial,Communications,,"35776km × 35796km, 0°",GEO,,1436.09,"4,167",2000-068A,29/10/2000,18,,30 Ku-band; highest powered Ku-band cross connection between South East Asia and Europe.
Intelsat 14 (IS-14),36097,USA,Intelsat S.A.,Commercial,Communications,,"35771km × 35800km, 0.02°",GEO,,1436.05,"5,613",2009-064A,23/11/2009,16,,"62 transponders, North and South America, Africa and Europe; will also carry an experiment for the US Department of Defense. Internet Routing in Space, or IRIS, is a technology demonstration project which will allow the satellite to perform IP routing rather than requiring a ground station to do so."
"Intelsat 15 (IS-15, JCSat 85)",36106,USA,Intelsat S.A./Sky Perfect JSAT Corp.,Commercial,Communications,,"35776km × 35798km, 0.05°",GEO,,1436.12,"2,550",2009-067A,30/11/2009,17,,"Will replace Intelsat 709; 22 Ku-band transponders; Data and video for customers in Russisa, the Middle East and Indian ocean area. Five transponders are directly owned by Sky Perfect JSAT Corp."
Intelsat 16 (IS-16),36397,USA,Intelsat S.A.,Commercial,Communications,,"35783km × 35791km, 0.07°",GEO,,1436.19,"2,450",2010-006A,12/02/2010,15,,24 Ku-band transponders; direct-to-home to customers in Mexico and Brazil.
Intelsat 17 (IS-17),37238,USA,Intelsat S.A.,Commercial,Communications,,"35770km × 35804km, 0.03°",GEO,,1436.12,"5,540",2010-065B,26/11/2010,16,,"24 C-band, 25 Ku-band transponders serving Europe, the Middle East, Africa, Russia and Asia."
Intelsat 18 (IS-18),37834,USA,Intelsat S.A.,Commercial,Communications,,"35775km × 35797km, 0.01°",GEO,,1436.09,"3,200",2011-056A,05/10/2011,15,,"24 C-band, 12 Ku-band; Asia Pacific Region"
Intelsat 19 (IS-19),38356,USA,Intelsat S.A.,Commercial,Communications,,"35768km × 35801km, 0.13°",GEO,,1436.01,"5,600",2012-030A,01/06/2012,15,,Replacement for Intelsat 8. Damage to a solar panel; reduced power.
"Intelsat 1R (IS-1R, PAS-1R, PanAmSat 1R)",26608,USA,PanAmSat (Intelsat S.A.),Commercial,Communications,,"35785km × 35788km, 0.06°",GEO,,1436.11,"4,793",2000-072A,15/11/2000,15,,"36 C-band, 36 Ku-band; direct-to-home (DTH) digital video and Internet services; Americas, Caribbean, Europe, Africa; will be replaced by Intelsat 14."
Intelsat 20 (IS-20),38740,USA,Intelsat S.A.,Commercial,Communications,,"35780km × 35790km, 0.02°",GEO,,1436.03,"6,094",2012-043A,02/08/2012,18,,"Replacement for Intelsat 7 and Intelsat 10. C-band and Ku-band for DTH television, cellularbackhaul and VSAT services."
Intelsat 21 (IS-21),38749,USA,Intelsat S.A.,Commercial,Communications,,"35774km × 35811km, 0.06°",GEO,,1436.39,"5,984",2012-045A,19/08/2012,15,,"Will replace Intelsat 9 - Meet needs of key customers SKY Mexico, Turner, Discovery, Fox, Telespazio, etc."
Intelsat 22,38098,USA,Intelsat S.A.,Commercial,Communications,,"35781km × 35792km, 0.03°",GEO,,1436.11,"6,199",2012-011A,25/03/2012,18,,"Provide C-band and Ku-band communications services over Africa, Asia, Europe and the Middle East. Intelsat 22 also carries a hosted UHF payload for the Australian Defence Force."
Intelsat 23,38867,USA,Intelsat S.A.,Commercial,Communications,,"35781km × 35797km, 0.03°",GEO,,1436.21,"3,200",2012-057A,14/10/2012,18,,"15 Ku-band, 24 C-band. Americas, Caribbean, Western Europe, Africa."
"Intelsat 25 (IS-25, Protostar 1, Chinasat 8)",33153,USA,Intelsat S.A.,Commercial,Communications,,"35778km × 35793km, 0.02°",GEO,,1436.1,"4,100",2008-034A,07/07/2008,16,,"First satellite of fleet; provides service in Asia. Purchased at auction by Intelsat in October, 2009 for $210 million."
"Intelsat 26 (JCSat R, JCSAT-4, Japan Communications Satellite 4)",24732,USA,Intelsat S.A.,Commercial,Communications,,"35779km × 35794km, 0.02°",GEO,,1436.1,"3,124",1997-007A,16/02/1997,12,,"Backup for JCSAT-3; 12 C-band, 12 Ku-band; relay voice, data, television signals via Ku-band to eastern Asia, Australia, New Zealand, India; via C-band to eastern and southern Asia and Hawaii. Digital TV. Sold to Intelsat in 2010."
Intelsat 30/DLA 1,40271,USA,Intelsat S.A.,Commercial,Communications,,"35776km × 35793km, 0.03°",GEO,,1435.97,"6,220",2014-062A,16/10/2014,15,,"72 Ku-band transponders and 10 C-band transponders. Hosts DLA-1, DirecTV to Latin America."
Intelsat 31/DLA 2,41581,USA,Intelsat S.A.,Commercial,Communications,,"35580km × 35860km, 0.01°",GEO,,1435.1,"6,450",2016-035A,09/06/2016,20,,DirecTV Latin America has leased all of the satellite's Ku-band communications capacity to broadcast hundreds of high-definition television channels to customers across Central and South America and the Caribbean. Intelsat retains the use of a smaller C-band payload on the spacecraft.
Intelsat 33 (IS-33),41748,USA,Intelsat S.A.,Commercial,Communications,,"35549km × 36152km, 0.04°",GEO,,1439.36,"6,600",2016-053B,24/08/2016,15,,Equivalent of 269 Ku- and C-band transponders.
Intelsat 34,40874,USA,Intelsat S.A.,Commercial,Communications,,"35777km × 35811km, 0.1°",GEO,,1436.1,"3,300",2015-039A,20/08/2015,15,,
Intelsat 35E,42818,USA,Intelsat S.A.,Commercial,Communications,,"35778km × 35794km, 0°",GEO,,1436.09,"6,761",2017-041A,05/07/2017,15,,"Fourth �Epic-class� relay satellite developed and launched by Intelsat, carry all-digital payloads, giving the company added flexibility in how it beams video, voice and data signals."
Intelsat 36 (IS-36),41747,USA,Intelsat S.A.,Commercial,Communications,,"35785km × 35801km, 0.1°",GEO,,1436.1,"3,250",2016-053A,24/08/2016,15,,"34 Ku-band, 10 C-band. Additional service to subsaharan Africa and East Asia."
Intelsat 37E (IS-37E),42950,USA,Intelsat S.A.,Commercial,Communications,,"35775km × 35795km, 0.02°",GEO,,1436.1,"6,438",2017-059A,29/09/2017,15,,"Broadband, wireless communications, television and government services across the Americas, the Atlantic Ocean, Europe and the Middle East"
Intelsat 39,44476,USA,Intelsat S.A.,Commercial,Communications,,"35784km × 35788km, 0°",GEO,,1436.08,"6,600",2019-049B,06/08/2019,15,,"Key customers are the Myanmar Ministry of Transport and Communications, as well as U.S. government users."
"Intelsat 5 (Arabsat 2C, Panamsat-5, PAS-5)",24916,USA,Intelsat S.A.,Commercial,Communications,,"35774km × 35798km, 0.03°",GEO,,1436.09,"2,730",1997-046A,28/08/1997,15,,"28 C-band, 28 Ku-band; covers Arab world. Inclined."
"Intelsat 9 (IS-9, PAS-9) ",26451,USA,PanAmSat (Intelsat S.A.),Commercial,Communications,,"35782km × 35792km, 0.01°",GEO,,1436.14,"3,659",2000-043A,28/07/2000,15,,"160 voice, video, data, and Internet channels; 24 C-band, 24 Ku-band; Americas, Caribbean, Europe."
Intelsat 901 ,26824,USA,Intelsat S.A.,Commercial,Communications,,"35775km × 35798km, 0.01°",GEO,,1436.12,"4,723",2001-024A,09/06/2001,13,,"72 C-band, 22 Ku-band, broadcasting, business services, direct-to-home TV broadcasting, telecommunications, VSAT networks; Atlantic Ocean region. Life extension with MEV-1 in 2020."
Intelsat 902 ,26900,USA,Intelsat S.A.,Commercial,Communications,,"35775km × 35797km, 0.02°",GEO,,1436.1,"4,723",2001-039A,30/08/2001,13,,"76 C-band, 22 Ku-band, broadcasting, business services, direct-to-home TV broadcasting, telecommunications, VSAT networks; Indian Ocean region."
Intelsat 904 ,27380,USA,Intelsat S.A.,Commercial,Communications,,"35782km × 35789km, 0.01°",GEO,,1436.07,"4,680",2002-007A,23/02/2002,13,,"76 C-band, 22 Ku-band, broadcasting, business services, direct-to-home TV broadcasting, telecommunications, VSAT networks; Indian Ocean region."
Intelsat 905 ,27438,USA,Intelsat S.A.,Commercial,Communications,,"35768km × 35805km, 0.01°",GEO,,1436.12,"4,723",2002-027A,05/06/2002,13,,"76 C-band, 22 Ku-band, broadcasting, business services, direct-to-home TV broadcasting, telecommunications, VSAT networks; Atlantic Ocean region."
