Official Name,NORAD Number,Nation,Operator,Users,Application,Detailed Purpose,Orbit,Class of Orbit,Type of Orbit,Period (minutes),Mass (kg),International Designator,Date of Launch,Expected Lifetime (yrs),Equipment,Describe
Galileo FOC FM9,41174,ESA,European Space Agency (ESA),Commercial,Navigation/Global Positioning,,"23551km × 23568km, 54.95°",MEO,Non-Polar Inclined,858.34,723,,17/12/2015,12,,
Galileo IOV-1 FM2,37847,ESA,European Space Agency (ESA),Commercial,Navigation/Global Positioning,,"23242km × 23307km, 54.67°",MEO,Non-Polar Inclined,846.98,700,,21/10/2011,12,,Operational nucleus of the full 30-satellite constellation.
Galileo IOV-1 PFM,37846,ESA,European Space Agency (ESA),Commercial,Navigation/Global Positioning,,"23240km × 23306km, 54.68°",MEO,Non-Polar Inclined,846.88,700,,21/10/2011,12,,Operational nucleus of the full 30-satellite constellation.
Galileo IOV-2 FM3,38857,ESA,European Space Agency (ESA),Commercial,Navigation/Global Positioning,,"23214km × 23233km, 55.34°",MEO,Non-Polar Inclined,844.76,700,,12/10/2012,12,,Operational nucleus of the full 30-satellite constellation.
Galileo IOV-2 FM4,38858,ESA,European Space Agency (ESA),Commercial,Navigation/Global Positioning,,"23217km × 23227km, 55.3°",MEO,Non-Polar Inclined,844.69,700,,12/10/2012,12,,Operational nucleus of the full 30-satellite constellation. Partial failure in 2014.
Gaofen 1,39150,China,China National Academy of Sciences (CNSAS),Government,Earth Observation,Optical Imaging,"630km × 654km, 98.07°",LEO,Sun-Synchronous,97.56,"1,000",,26/04/2013,8,,Possibly for cartography; will work in system to combine data from different sources.
Gaofen 10,44622,China,China National Academy of Sciences (CNSAS),Government,Earth Observation,Optical Imaging,"611km × 621km, 97.8°",LEO,Sun-Synchronous,97.03,"1,000",,04/10/2019,8,,
Gaofen 11,43585,China,People's Liberation Army (C41),Military,Earth Observation,Optical Imaging,"241km × 689km, 97.4°",Elliptical,,93.9,"1,000",,31/07/2018,8,,
Gaofen 12,44819,China,China National Academy of Sciences (CNSAS),Government,Earth Observation,Radar Imaging,"612km × 616km, 97.9°",LEO,Sun-Synchronous,96.9,"1,000",,28/11/2019,8,,
Gaofen 2,40118,China,China National Academy of Sciences (CNSAS),Government,Earth Observation,Optical Imaging,"620km × 636km, 98.02°",LEO,Sun-Synchronous,97.06,"1,000",,19/08/2014,8,,"The primary users of the satellite will be the Ministry of Land and Resources, the Ministry of Housing and Urban-Rural Development, the Ministry of Transport, and the State Forestry Administration,"
Gaofen 3,41727,China,State Oceanic Administration (SOA),Government,Earth Observation,Radar Imaging,"757km × 759km, 98.4°",LEO,Polar,99.8,"1,000",,09/08/2016,8,,"Part of the China High-resolution Earth Observation System, or CHEOS, a network of satellites supplying near-realtime data to Chinese government agencies."
Gaofen 4,41194,China,China National Academy of Sciences (CNSAS),Government,Earth Observation,Optical Imaging,"35792km × 35796km, 0.6°",GEO,,1436.1,"4,600",,28/12/2015,8,,China's first earth observation satellite in GEO.
Gaofen 7,44703,China,Ministry of Natural Resources/Ministry of Housing and Urban-Rural Development/National Bureau of Statistics,Government,Earth Observation,Optical Imaging ,"487km × 505km, 97.5°",LEO,Sun-Synchronous,94.5,9,,03/11/2019,,,Collect three-dimensional mapping imagery.
Gaofen 8,40701,China,People's Liberation Army (C41),Military,Earth Observation,Optical Imaging,"484km × 492km, 97.3°",LEO,Sun-Synchronous,94.36,"1,000",,26/06/2015,8,,Optical satellite planned under the civilian China High-resolution Earth Observation System (CHEOS).
Gaofen 9,40894,China,China National Academy of Sciences (CNSAS),Government,Earth Observation,Optical Imaging,"618km × 664km, 98.01°",LEO,Sun-Synchronous,97.54,"1,000",,14/09/2015,8,,"Will provide sub-meter class resolution optical images for city planning, road network design, land ownership determination, etc. purposes"
Gaofen 9-02,45625,China,China National Academy of Sciences (CNSAS),Government,Earth Observation,Optical Imaging,"487km × 502km, 97.2°",LEO,Sun-Synchronous,94.5,"1,000",,31/05/2020,8,,
Gaofen 9-03,45794,China,China National Academy of Sciences (CNSAS),Government,Earth Observation,Optical Imaging,"485km × 504km, 97.3°",LEO,Sun-Synchronous,94.5,"1,000",,17/06/2020,8,,"Gaofen satellites are equipped variously with optical, infrared and radar imaging observatories."
Gaofen Multi-Mode 1,45856,China,"China's Ministry of Land and Resources, Ministry of Environmental Protection, and Ministry of Agriculture",Government,Earth Observation,Multispectral Imaging,"631km × 649km, 98°",LEO,Sun-Synchronous,97.5,,,03/07/2020,,,Multi-spectral imager; country's highest definition civilian camera.
Gaofen-1-02,43259,China,"China’s Ministry of Land and Resources, Ministry of Environmental Protection, and Ministry of Agriculture",Government,Earth Observation,Optical Imaging,"638km × 642km, 98°",LEO,Sun-Synchronous,97.5,805,,30/03/2018,8,,
Gaofen-1-03,43260,China,"China’s Ministry of Land and Resources, Ministry of Environmental Protection, and Ministry of Agriculture",Government,Earth Observation,Optical Imaging,"638km × 640km, 98°",LEO,Sun-Synchronous,97.5,805,,30/03/2018,8,,
Gaofen-1-04,43262,China,"China’s Ministry of Land and Resources, Ministry of Environmental Protection, and Ministry of Agriculture",Government,Earth Observation,Optical Imaging,"638km × 642km, 98°",LEO,Sun-Synchronous,97.5,805,,30/03/2018,8,,
Gaofen-1-05,43461,China,"China’s Ministry of Land and Resources, Ministry of Environmental Protection, and Ministry of Agriculture",Government,Earth Observation,Hyperspectral Imaging,"677km × 695km, 98°",LEO,Sun-Synchronous,98.4,805,,08/05/2018,8,,"Survey global land and water resources, air pollutants, greenhouse gases and other environmental parameters."
Gaofen-1-06,43484,China,"China’s Ministry of Land and Resources, Ministry of Environmental Protection, and Ministry of Agriculture",Government,Earth Observation,Optical Imaging,"634km × 647km, 98°",LEO,Sun-Synchronous,97.3,"1,064",,03/06/2018,8,,Similar to Gaofen 1 with improved cameras.
Cosmos 2473,37806,Russia,Ministry of Defense,Military,Communications,,"35782km × 35790km, 0.09°",GEO,,1436.1,"5,000",,20/09/2011,,,Possible replacement for Potok/Geizer relay communications satellite.
Cosmos 2513,41121,Russia,Ministry of Defense,Military,Communications,,"35783km × 35805km, 0°",GEO,,1436.1,"5,000",,10/12/2015,,,Data relay communications satellite.
GATOSS,39430,Denmark,GomSpace ApS,Commercial,Technology Development,,"593km × 819km, 97.7°",LEO,Sun-Synchronous,98.9,5,,21/11/2013,,,Principal purpose is to evaluate use of satellites to monitor ABS-B data transmissions from commercial aircraft on trans-oceanic routes.
GCOM-C,43065,Japan,Japan Aerospace Exploration Agency (JAXA),Government,Earth Observation,,"790km × 793km, 98.7°",LEO,Sun-Synchronous,100.69,"2,200",,22/12/2017,5,,"Make “surface and atmospheric measurements related to the carbon cycle and radiation budget, such as clouds, aerosols, ocean color, vegetation, and snow and ice.”"
GEARRSAT-2,40657,USA,NearSpace Launch/Air Force Research Laboratory,Government,Technology Development,,"356km × 700km, 55°",LEO,Non-Polar Inclined,95,10,,20/05/2015,,,
Genesis-1,29252,USA,Bigelow Aerospace,Commercial,Technology Development,,"522km × 569km, 64.5°",LEO,Non-Polar Inclined,95.6,"1,360",,12/07/2006,5,,Prototype for space hotel; inflatable spacecraft.
Genesis-2,31789,USA,Bigelow Aerospace,Commercial,Technology Development,,"508km × 586km, 64.5°",LEO,Non-Polar Inclined,95.6,"1,360",,28/06/2007,5,,Second prototype for space hotel; inflatable spacecraft.
Cosmos 2517,41579,Russia,Ministry of Defense,Military,Earth Science,,"935km × 963km, 99.27°",LEO,Sun-Synchronous,104.03,900,,05/06/2016,5,,"Designed to measure variations in the Earth’s gravitational field, to build a high-precision geodetic network in the geocentric coordinate system, as well as study continental plate motion, tides, the Earth’s rotation and coordinates of poles."
Cosmos 2540,44517,Russia,Ministry of Defense,Military,Earth Science,,"945km × 958km, 99.3°",LEO,Sun-Synchronous,103.9,900,,30/08/2019,5,,"Designed to measure variations in the Earth’s gravitational field, to build a high-precision geodetic network in the geocentric coordinate system, as well as study continental plate motion, tides, the Earth’s rotation and coordinates of poles."
GeoEye-1,33331,USA,DigitalGlobe Corporation,Government/Commercial,Earth Observation,Optical Imaging,"671km × 686km, 98.1°",LEO,Sun-Synchronous,98.3,"1,955",,06/09/2008,7,,"Remote sensing for both commercial customers and the National Geospatial-Intelligence Agency (NGA), GeoEye-1 is capable of acquiring image data at 0.41 meter panchromatic and 1.65 meter multispectral resolution. Experienced an antenna anomaly in 12/09."
GEO-Kompsat-2A,43823,South Korea,Korea Meteorological Administration/National Meteorological Satellite Center,Government,Earth Observation,Meteorology,"35783km × 35787km, 0.05°",GEO,,1436.04,"3,507",,04/12/2018,10,,"Will monitor meteorological events on earth as well as study space weather. Carries the Advanced Meteorological Imager, a 16-channel camera built by Harris Corp. in Fort Wayne, Indiana"
GEO-Kompsat-2B,45246,South Korea,Korea Meteorological Administration/National Meteorological Satellite Center,Government,Earth Observation,Meteorology,"35782km × 35792km, 0.04°",GEO,,1436.13,"3,379",,18/02/2020,10,,
Geomagnetic Tail Laboratory (Geotail),22049,Multinational,Institute of Space and Astronautical Science (ISAS)/NASA/ESA,Government,Space Science,,"49551km × 191451km, 9.39°",Elliptical,Deep Highly Eccentric,"2,474.83",980,,24/07/1992,,,Study the dynamics of the Earth's magnetotail over a wide range of distance
GHGSat-D,41602,Canada,"GHGSat, Inc.",Commercial,Earth Science,,"500km × 512km, 97.5°",LEO,Sun-Synchronous,94.70,15,,22/06/2016,,,Demonstration satellite for a constellation monitoring emissions and greenhouse gases.
GCOM-1,38337,USA/Japan,Japan Aerospace Exploration Agency (JAXA),Government,Earth Observation,Earth Science,"701km × 704km, 98.2°",LEO,Sun-Synchronous,98.80,"1,900",,17/05/2012,5,,First of a series of satellites to study water circulation systems in the Earth's atmosphere; July 2012 took up lead position in A-Train.
Globalstar FM37,25652,USA,Globalstar,Commercial,Communications,,"1411km × 1417km, 52°",LEO,Non-Polar Inclined,114.1,450,,15/03/1999,10,,
Globalstar M065,31571,USA,Globalstar,Commercial,Communications,,"1411km × 1416km, 52°",LEO,Non-Polar Inclined,114.1,450,,29/05/2007,10,,
Globalstar M066,32265,USA,Globalstar,Commercial,Communications,,"1412km × 1415km, 52°",LEO,Non-Polar Inclined,114.1,450,,20/10/2007,10,,
Globalstar M067,32263,USA,Globalstar,Commercial,Communications,,"1413km × 1414km, 52°",LEO,Non-Polar Inclined,114.1,450,,20/10/2007,10,,
Globalstar M069,31573,USA,Globalstar,Commercial,Communications,,"1411km × 1416km, 52°",LEO,Non-Polar Inclined,114.1,450,,29/05/2007,10,,
Globalstar M070,32264,USA,Globalstar,Commercial,Communications,,"1412km × 1415km, 52°",LEO,Non-Polar Inclined,114.1,450,,20/10/2007,10,,
Globalstar M071,31576,USA,Globalstar,Commercial,Communications,,"1412km × 1415km, 52°",LEO,Non-Polar Inclined,114.1,450,,29/05/2007,10,,
Globalstar M072,31574,USA,Globalstar,Commercial,Communications,,"1412km × 1416km, 52°",LEO,Non-Polar Inclined,114.1,450,,29/05/2007,10,,
Globalstar M073,37193,USA,Globalstar,Commercial,Communications,,"1413km × 1414km, 52°",LEO,Non-Polar Inclined,114.1,700,,19/10/2010,15,,
Globalstar M074,37189,USA,Globalstar,Commercial,Communications,,"1413km × 1415km, 52°",LEO,Non-Polar Inclined,114.1,700,,19/10/2010,15,,
Globalstar M075,37192,USA,Globalstar,Commercial,Communications,,"1413km × 1415km, 52°",LEO,Non-Polar Inclined,114.1,700,,19/10/2010,15,,
Globalstar M076,37190,USA,Globalstar,Commercial,Communications,,"1412km × 1415km, 52°",LEO,Non-Polar Inclined,114.1,700,,19/10/2010,15,,
Globalstar M077,37191,USA,Globalstar,Commercial,Communications,,"1413km × 1414km, 52°",LEO,Non-Polar Inclined,114.1,700,,19/10/2010,15,,
Globalstar M078,39076,USA,Globalstar,Commercial,Communications,,"1412km × 1415km, 51.99°",LEO,Non-Polar Inclined,114.08,700,,06/02/2013,15,,
Globalstar M079,37188,USA,Globalstar,Commercial,Communications,,"1413km × 1414km, 52°",LEO,Non-Polar Inclined,114.1,700,,19/10/2010,15,,First of second generation.
Globalstar M080,38041,USA,Globalstar,Commercial,Communications,,"1413km × 1414km, 52°",LEO,Non-Polar Inclined,114.1,700,,28/12/2011,15,,
Globalstar M081,37743,USA,Globalstar,Commercial,Communications,,"1412km × 1415km, 52°",LEO,Non-Polar Inclined,114.1,700,,13/07/2011,15,,
Globalstar M082,38042,USA,Globalstar,Commercial,Communications,,"1413km × 1414km, 52°",LEO,Non-Polar Inclined,114.1,700,,28/12/2011,15,,
Globalstar M083,37739,USA,Globalstar,Commercial,Communications,,"1413km × 1414km, 52°",LEO,Non-Polar Inclined,114.1,700,,13/07/2011,15,,
Globalstar M084,38040,USA,Globalstar,Commercial,Communications,,"1413km × 1414km, 52°",LEO,Non-Polar Inclined,114.1,700,,28/12/2011,15,,Continuation of second generation.
Globalstar M085,37742,USA,Globalstar,Commercial,Communications,,"1413km × 1415km, 52°",LEO,Non-Polar Inclined,114.1,700,,13/07/2011,15,,
Globalstar M086,38045,USA,Globalstar,Commercial,Communications,,"1413km × 1414km, 52°",LEO,Non-Polar Inclined,114.1,700,,28/12/2011,15,,
Globalstar M088,37740,USA,Globalstar,Commercial,Communications,,"1412km × 1415km, 52°",LEO,Non-Polar Inclined,114.1,700,,13/07/2011,15,,
Globalstar M089,37744,USA,Globalstar,Commercial,Communications,,"1413km × 1415km, 51.99°",LEO,Non-Polar Inclined,118.2,700,,13/07/2011,15,,
Globalstar M090,38044,USA,Globalstar,Commercial,Communications,,"1413km × 1414km, 52°",LEO,Non-Polar Inclined,114.1,700,,28/12/2011,15,,
Globalstar M091,37741,USA,Globalstar,Commercial,Communications,,"1413km × 1415km, 52°",LEO,Non-Polar Inclined,114.1,700,,13/07/2011,15,,
Globalstar M092,38043,USA,Globalstar,Commercial,Communications,,"1413km × 1414km, 52°",LEO,Non-Polar Inclined,114.1,700,,28/12/2011,15,,
Globalstar M093,39073,USA,Globalstar,Commercial,Communications,,"1412km × 1415km, 51.98°",LEO,Non-Polar Inclined,113.35,700,,06/02/2013,15,,
Globalstar M094,39074,USA,Globalstar,Commercial,Communications,,"1413km × 1414km, 51.99°",LEO,Non-Polar Inclined,103.44,700,,06/02/2013,15,,
Globalstar M095,39077,USA,Globalstar,Commercial,Communications,,"1413km × 1414km, 51.98°",LEO,Non-Polar Inclined,114.08,700,,06/02/2013,15,,
Globalstar M096,39075,USA,Globalstar,Commercial,Communications,,"1413km × 1414km, 52.01°",LEO,Non-Polar Inclined,103.48,700,,06/02/2013,15,,
Globalstar M097,39072,USA,Globalstar,Commercial,Communications,,"1370km × 1391km, 52.01°",LEO,Non-Polar Inclined,113.96,700,,06/02/2013,15,,
Cosmos 2471,37372,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,"19116km × 19146km, 64.77°",MEO,Non-Polar Inclined,675.78,935,,26/02/2011,10,,"Next generation. Will transmit more navigation signals. Five channels, four in L1 andL2 bands and one for civilian aplications in the L3 band."
Cosmos 2501,40315,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,"19103km × 19178km, 64.83°",MEO,Non-Polar Inclined,676.15,935,,01/12/2014,10,,Also carries a COSPAS/SARSAT transponder.
Cosmos 2425,29670,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,"19130km × 19130km, 64.8°",MEO,Non-Polar Inclined,675.75,"1,480",,25/12/2006,7,,
Cosmos 2426,29671,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,"19130km × 19130km, 64.8°",MEO,Non-Polar Inclined,675.75,"1,480",,25/12/2006,7,,
Cosmos 2432,32276,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,"19094km × 19171km, 64.9°",MEO,Non-Polar Inclined,675.83,"1,480",,26/10/2007,7,,
Cosmos 2433,32275,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,"19124km × 19133km, 64.9°",MEO,Non-Polar Inclined,675.67,"1,480",,26/10/2007,7,,
Cosmos 2434,32393,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,"19142km × 19378km, 64.66°",MEO,Non-Polar Inclined,680.91,"1,480",,25/12/2007,7,,
Cosmos 2436,32395,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,"19147km × 19365km, 64.67°",MEO,Non-Polar Inclined,680.75,"1,480",,25/12/2007,7,,
Cosmos 2456,36111,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,"19132km × 19419km, 64.81°",MEO,Non-Polar Inclined,681.53,"1,415",,14/12/2009,7,,
Cosmos 2459,36400,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,"19119km × 19146km, 64.76°",MEO,Non-Polar Inclined,675.85,"1,415",,01/03/2010,7,,
Cosmos 2460,36402,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,"19131km × 19133km, 64.77°",MEO,Non-Polar Inclined,675.81,"1,415",,01/03/2010,7,,
Cosmos 2457,36112,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,"18864km × 19130km, 64.78°",MEO,Non-Polar Inclined,670.47,"1,415",,14/12/2009,7,,
Cosmos 2461,36401,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,"19128km × 19135km, 64.77°",MEO,Non-Polar Inclined,675.81,"1,415",,01/03/2010,7,,
Cosmos 2464,37139,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,"18909km × 19123km, 64.82°",MEO,Non-Polar Inclined,671.2,"1,415",,02/09/2010,7,,
Cosmos 2474,37829,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,"19126km × 19158km, 64.82°",MEO,Non-Polar Inclined,676.2,"1,415",,02/10/2011,7,,
Cosmos 2476,37867,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,"19142km × 19204km, 64.8°",MEO,Non-Polar Inclined,677.46,"1,415",,04/11/2011,7,,
Cosmos 2477,37868,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,"19150km × 19199km, 64.8°",MEO,Non-Polar Inclined,677.5,"1,415",,04/11/2011,7,,
Cosmos 2475,37869,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,"19139km × 19212km, 64.78°",MEO,Non-Polar Inclined,677.54,"1,415",,04/11/2011,7,,
Cosmos 2485,39155,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,"19087km × 19173km, 64.77°",MEO,Non-Polar Inclined,675.73,"1,415",,26/04/2013,7,,
Cosmos 2514,41330,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,"19106km × 19154km, 64.8°",MEO,Non-Polar Inclined,675.75,"1,415",,07/02/2016,7,,
Cosmos 2522,42939,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,"19103km × 19156km, 64.8°",MEO,Non-Polar Inclined,675.75,"1,415",,22/09/2017,7,,
Cosmos 2516,41554,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,"19094km × 19153km, 64.8°",MEO,Non-Polar Inclined,675.49,"1,415",,29/05/2016,7,,
Cosmos 2500,40001,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,"19114km × 19146km, 64.77°",MEO,Non-Polar Inclined,675.73,"1,415",,14/06/2014,7,,
Cosmos 2527,43508,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,"19121km × 19154km, 64.8°",MEO,Non-Polar Inclined,676.03,"1,415",,18/06/2018,7,,
Cosmos 2529,43687,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,"19123km × 19163km, 64.8°",MEO,Non-Polar Inclined,767.2,"1,415",,03/11/2018,7,,
Cosmos 2534,44299,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,"19097km × 19162km, 64.8°",MEO,Non-Polar Inclined,675.7,"1,415",,27/05/2019,7,,
Cosmos 2544,44850,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,"19003km × 19149km, 64.8°",MEO,Non-Polar Inclined,673.1,"1,415",,11/12/2019,7,,
Cosmos 2545,45358,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,,"19131km × 19155km, 64.8°",MEO,Non-Polar Inclined,676.2,"1,415",,16/02/2020,7,,
GOES-13,29155,USA,US Air Force,Military,Earth Observation,Earth Science/Meterology,"35768km × 35801km, 0.28°",GEO,,1436,"3,200",,24/05/2006,7,,"Retired in 2018, turned over to the Air Force  to fill a gap in their forecasting. Will supply data critical for fast, accurate forecasts and warnings for severe weather, including tornadoes, winter storms and hurricanes."
GOES-14,35491,USA,NOAA (National Oceanographic and Atmospheric Administration),Government,Earth Observation,Earth Science/Meterology,"35170km × 35170km, 0°",GEO,,1436,"3,200",,27/06/2009,10,,Spare.
GOES-15,36411,USA,NOAA (National Oceanographic and Atmospheric Administration),Government,Earth Observation,Earth Science/Meterology,"35786km × 35788km, 0.42°",GEO,,1436.14,"3,175",,04/03/2010,10,,
GOES-R,41866,USA,NOAA (National Oceanographic and Atmospheric Administration),Government,Earth Observation,Earth Science/Meterology,"35790km × 35795km, 0°",GEO,,1436.1,"5,192",,19/11/2016,20,,"Carries the Advanced Baseline Imager, the sophisticated digital camera that offers more embedded data at higher resolution taken in quicker intervals than ever before."
GOES-S,43226,USA,NOAA (National Oceanographic and Atmospheric Administration),Government,Earth Observation,Earth Science/Meterology,"35778km × 35795km, 0°",GEO,,1436.09,"5,211",,01/03/2018,15,,
Göktürk 1,41875,Turkey,Turkish Ministry of National Defense,Military,Earth Observation,Optical Imaging,"683km × 683km, 98.1°",LEO,Sun-Synchronous,98.42,"1,060",,05/12/2016,7,,"Along with satellite construction, Thales Alenia Space developed a spacecraft integration and test center in Ankara as part of a technology transfer program."
Göktürk 2,39030,Turkey,Turkish Ministry of National Defense,Military,Earth Observation,Optical Imaging,"669km × 690km, 98.16°",LEO,Sun-Synchronous,98.35,409,,18/12/2012,5,,High resolution earth observation. Second and third in production.
GomX-4A,43197,Denmark,GomSpace ApS,Military,Earth Observation,,"483km × 506km, 97.3°",LEO,Sun-Synchronous,94.5,8,,02/02/2018,,,Collect data for the Danish Ministry of Defense on airplane and ship movements over the Arctic region
GomX-4B,43196,Denmark,GomSpace ApS,Government,Technology Development,,"486km × 508km, 97.3°",LEO,Sun-Synchronous,94.5,8,,02/02/2018,,,Technology development.
Gonets M-03,38734,Russia,Gonets Satcom,Government/Commercial,Communications,,"1478km × 1510km, 82.5°",LEO,Polar,115.9,270,,28/07/2012,7,,
Gonets M-04,38736,Russia,Gonets Satcom,Government/Commercial,Communications,,"1480km × 1511km, 82.5°",LEO,Polar,115.9,270,,28/07/2012,7,,
Gonets M-05,37153,Russia,Gonets Satcom,Government/Commercial,Communications,,"1497km × 1510km, 82.5°",LEO,Polar,116.1,270,,08/09/2010,7,,Constellation of 12 satellites for civil/commercial use.
Gonets M-11,40552,Russia,Gonets Satcom,Government/Commercial,Communications,,"1497km × 1508km, 82.4°",LEO,Polar,116,280,,31/03/2015,7,,
Gonets M-12,40553,Russia,Gonets Satcom,Government/Commercial,Communications,,"1494km × 1506km, 82.4°",LEO,Polar,116,280,,31/03/2015,7,,
Gonets M-13,40554,Russia,Gonets Satcom,Government/Commercial,Communications,,"1171km × 1504km, 82.4°",LEO,Polar,116,280,,31/03/2015,7,,
Gonets M-14,39249,Russia,Gonets Satcom,Government/Commercial,Communications,,"1482km × 1507km, 82.49°",LEO,Polar,115.86,270,,11/09/2013,7,,
Gonets M-16,39250,Russia,Gonets Satcom,Government/Commercial,Communications,,"1493km × 1508km, 82.49°",LEO,Polar,116,270,,11/09/2013,7,,
Gonets M-17,39251,Russia,Gonets Satcom,Government/Commercial,Communications,,"1494km × 1509km, 92.49°",LEO,Polar,116.02,270,,11/09/2013,7,,
Gonets M-18,40061,Russia,Gonets Satcom,Government/Commercial,Communications,,"1479km × 1510km, 82.52°",LEO,Polar,115.87,280,,03/07/2014,7,,
Gonets M-19,40062,Russia,Gonets Satcom,Government/Commercial,Communications,,"1480km × 1512km, 82.51°",LEO,Polar,115.89,280,,03/07/2014,7,,
Gonets M-20,40063,Russia,Gonets Satcom,Government/Commercial,Communications,,"1478km × 1509km, 82.51°",LEO,Polar,115.84,280,,03/07/2014,7,,
Gonets-M-24,44905,Russia,Gonets Satcom,Government/Commercial,Communications,,"1498km × 1505km, 82.51°",LEO,Polar,116.01,280,,26/12/2019,7,,
Gonets M-25,44906,Russia,Gonets Satcom,Government/Commercial,Communications,,"1499km × 1507km, 82.51°",LEO,Polar,116.01,280,,26/12/2019,7,,
Gonets-M-26,44907,Russia,Gonets Satcom,Government/Commercial,Communications,,"1500km × 1507km, 82.5°",LEO,Polar,116.01,280,,26/12/2019,7,,
GOSAT-2,43672,Japan,"JAXA, Ministry of Environment, National Institute of Environmental Studies",Government,Earth Observation,Earth Science,"585km × 599km, 97.85°",LEO,Sun-Synchronous,96.5,"1,800",,29/10/2018,5,,Measure greenhouse gases in Earth’s atmosphere and help scientists better quantify the role of human activity in climate change.
GovSat-1,43178,Luxembourg,LuxGovSat,Government/Military,Communications,,"35766km × 35807km, 0°",GEO,,1436.1,"4,230",,31/01/2018,15,,"""GovSat-1 was designed to meet the specific needs of government customers, and will enable a wide array of defense and civilian security applications, even in the most remote locations.” Carries Ka-band and X-band telecom equipment to relay data, radio signals and other communications across a zone stretching from the Atlantic Ocean to the Indian Ocean."
GPIM,44342,USA,National Aeronautics and Space Administration (NASA),Government,Technology Development,,"701km × 729km, 24°",LEO,Sun-Synchronous,99,180,,25/06/2019,1,,NASA is developing a green alternative to conventional chemical propulsion systems for next-generation launch vehicles and spacecraft.
GPM Core Observatory,39574,USA/Japan,National Aeronautics and Space Administration (NASA)/JAXA,Government,Earth Observation,Earth Science,"392km × 409km, 65.02°",LEO,Non-Polar Inclined,92.57,"3,850",,27/02/2014,,,The GPM Core observatory is equipped with radar and microwave imagers to collect data to measure precipitation in the Earth's atmosphere.
Grace Follow-on-1,43476,USA/Germany,NASA/German Research Centre for Geosciences (GFZ),Government,Earth Observation,Earth Science,"485km × 504km, 88.9°",LEO,Polar,94.5,600,,22/05/2018,5,,"Continues the work of tracking Earth's water movement to monitor changes in underground water storage, amount of water in large lakes and rivers, soil moisture, ice sheets and glaciers, sea level caused by the addition of water to the ocean."
Grace Follow-on-2,43477,USA/Germany,NASA/German Research Centre for Geosciences (GFZ),Government,Earth Observation,Earth Science,"484km × 504km, 88.9°",LEO,Polar,94.5,600,,22/05/2018,5,,"Continues the work of tracking Earth's water movement to monitor changes in underground water storage, amount of water in large lakes and rivers, soil moisture, ice sheets and glaciers, sea level caused by the addition of water to the ocean."
Ibuki,33492,Japan,Japan Aerospace Exploration Agency (JAXA),Government,Earth Observation,Earth Science,"668km × 670km, 98.1°",LEO,Sun-Synchronous,98.1,"1,750",,23/01/2009,5,,Observe the concentration and distribution of greenhouse gases across most of the Earth's surface.
GRIFEX,40379,USA,University of Michigan/NASA Earth Science Technology Office,Government/Civil,Technology Development,,"441km × 659km, 99.1°",LEO,Elliptical,95.5,4,,31/01/2015,,,A spaceborne engineering assessment of a JPL-developed all digital in-pixel high frame rate ROIC (Read-Out Integrated Circuit).
GRUS-1,43890,Japan,Axelspace,Commercial,Earth Observation,Multispectral Imaging,"570km × 582km, 97.7°",LEO,Sun-Synchronous,96.2,100,,27/12/2018,5,,"First satellite in Axelspace's earth observation constellation, AxelGlobe."
GSAT-10,38779,India,Indian Space Research Organization (ISRO),Government,Communications,,"35777km × 35795km, 0.06°",GEO,,1436.07,"3,400",,28/09/2012,15,,Also equipped with GAGAN (GPS Aided GEO Augmented Naviation).
