Application,Class of Orbit,Date of Launch,Describe,Detailed Purpose,Equipment,Expected Lifetime (yrs),International Designator,Mass (kg),NORAD Number,Nation,Official Name,Operator,Orbit,Period (minutes),Type of Orbit,Users,_id
Technology Development,LEO,19/06/2014,Prototype. Earth imaging constellation.,,,,,4,40044,USA,Lemur-1,Spire Global Inc.,"612km � 697km, 97.98�",97.82,Sun-Synchronous,Commercial,60e5620d98df02cf3580044c
Earth Observation,LEO,16/07/2018,,"Meteorology, Automatic Identification System (AIS)",,,,4,43559,USA,Lemur 2F80,Spire Global Inc.,"480km � 486km, 51.6�",94.2,Non-Polar Inclined,Commercial,60e5620d98df02cf3580044d
Earth Observation,LEO,28/09/2015,,"Meteorology, Automatic Identification System (AIS)",,,,4,40933,USA,Lemur 2F4,Spire Global Inc.,"635km � 649km, 6�",97.57,Equatorial,Commercial,60e5620d98df02cf3580044e
Earth Observation,LEO,28/09/2015,,"Meteorology, Automatic Identification System (AIS)",,,,4,40934,USA,Lemur 2F3,Spire Global Inc.,"635km � 649km, 6.01�",97.57,Equatorial,Commercial,60e5620d98df02cf3580044f
Earth Observation,LEO,28/09/2015,Start of a 100-satellite constellation for full worldwide weather and other data every five minutes.,"Meteorology, Automatic Identification System (AIS)",,,,4,40932,USA,Lemur 2F1,Spire Global Inc.,"629km � 649km, 6�",97.49,Equatorial,Commercial,60e5620d98df02cf35800450
Earth Observation,LEO,28/09/2015,,"Meteorology, Automatic Identification System (AIS)",,,,4,40935,USA,Lemur 2F2,Spire Global Inc.,"634km � 650km, 6.01�",97.56,Equatorial,Commercial,60e5620d98df02cf35800451
Earth Observation,LEO,05/07/2019,,"Meteorology, Automatic Identification System (AIS)",,,,4,44407,USA,Lemur 2FM106,Spire Global Inc.,"514km � 546km, 97.5�",95.2,Sun-Synchronous,Commercial,60e5620d98df02cf35800452
Earth Observation,LEO,14/07/2017,,"Meteorology, Automatic Identification System (AIS)",,,,4,42838,USA,Lemur 2F47,Spire Global Inc.,"586km � 598km, 97.6�",96.5,Sun-Synchronous,Commercial,60e5620d98df02cf35800453
Earth Observation,LEO,18/04/2017,,"Meteorology, Automatic Identification System (AIS)",,,,4,42752,USA,Lemur 2F31,Spire Global Inc.,"476km � 490km, 51.64�",94.2,Non-Polar Inclined,Commercial,60e5620d98df02cf35800454
Earth Observation,LEO,17/10/2016,,"Meteorology, Automatic Identification System (AIS)",,,,4,41873,USA,Lemur 2F16,Spire Global Inc.,"498km � 507km, 51.6�",94.6,Non-Polar Inclined,Commercial,60e5620d98df02cf35800455
Earth Observation,LEO,14/07/2017,,"Meteorology, Automatic Identification System (AIS)",,,,4,42881,USA,Lemur 2F43,Spire Global Inc.,"585km � 601km, 97.6�",96.5,Sun-Synchronous,Commercial,60e5620d98df02cf35800456
Earth Observation,LEO,01/04/2019,,"Meteorology, Automatic Identification System (AIS)",,,,4,44085,USA,Lemur 2FM98,Spire Global Inc.,"493km � 510km, 97.5�",96.5,Sun-Synchronous,Commercial,60e5620d98df02cf35800457
Earth Observation,LEO,08/12/2017,,"Meteorology, Automatic Identification System (AIS)",,,,4,43047,USA,Lemur 2F52,Spire Global Inc.,"449km � 454km, 51.6�",93.6,Non-Polar Inclined,Commercial,60e5620d98df02cf35800458
Earth Observation,LEO,11/01/2018,,"Meteorology, Automatic Identification System (AIS)",,,,4,43125,USA,Lemur 2F71,Spire Global Inc.,"493km � 504km, 97.5�",94.5,Sun-Synchronous,Commercial,60e5620d98df02cf35800459
Earth Observation,LEO,10/11/2018,,"Meteorology, Automatic Identification System (AIS)",,,,4,43697,USA,Lemur 2F83,Spire Global Inc.,"495km � 515km, 85�",94.7,Polar,Commercial,60e5620d98df02cf3580045a
Earth Observation,LEO,27/12/2018,,"Meteorology, Automatic Identification System (AIS)",,,,4,43882,USA,Lemur 2F90,Spire Global Inc.,"570km � 585km, 97.7�",96.2,Sun-Synchronous,Commercial,60e5620d98df02cf3580045b
Earth Observation,LEO,27/12/2018,,"Meteorology, Automatic Identification System (AIS)",,,,4,43889,USA,Lemur 2F95,Spire Global Inc.,"569km � 587km, 97.7�",96.2,Sun-Synchronous,Commercial,60e5620d98df02cf3580045c
Earth Observation,LEO,11/01/2018,,"Meteorology, Automatic Identification System (AIS)",,,,4,43126,USA,Lemur2F69,Spire Global Inc.,"495km � 502km, 97.5�",94.5,Sun-Synchronous,Commercial,60e5620d98df02cf3580045d
Earth Observation,LEO,14/07/2017,,"Meteorology, Automatic Identification System (AIS)",,,,4,42842,USA,Lemur 2F49,Spire Global Inc.,"586km � 596km, 97.6�",96.5,Sun-Synchronous,Commercial,60e5620d98df02cf3580045e
Earth Observation,LEO,29/11/2018,One of two Lemur satellites sponsored by ESA.,"Meteorology, Automatic Identification System (AIS)",,,,4,43745,USA,Lemur 2F87,Spire Global Inc.,"479km � 506km, 97.5�",94.3,Sun-Synchronous,Commercial,60e5620d98df02cf3580045f
Earth Observation,LEO,10/12/2017,,"Meteorology, Automatic Identification System (AIS)",,,,4,43053,USA,Lemur 2F57,Spire Global Inc.,"451km � 452km, 51.6�",93.6,Non-Polar Inclined,Commercial,60e5620d98df02cf35800460
Earth Observation,LEO,05/07/2019,,"Meteorology, Automatic Identification System (AIS)",,,,4,44405,USA,Lemur 2FM105,Spire Global Inc.,"515km � 546km, 97.5�",95.2,Sun-Synchronous,Commercial,60e5620d98df02cf35800461
Earth Observation,LEO,05/07/2019,,"Meteorology, Automatic Identification System (AIS)",,,,4,44409,USA,Lemur2FM104,Spire Global Inc.,"515km � 546km, 97.5�",95.2,Sun-Synchronous,Commercial,60e5620d98df02cf35800462
Earth Observation,LEO,01/04/2019,,"Meteorology, Automatic Identification System (AIS)",,,,4,44086,USA,Lemur 2FM99,Spire Global Inc.,"493km � 510km, 97.5�",94.6,Sun-Synchronous,Commercial,60e5620d98df02cf35800463
Earth Observation,LEO,14/07/2017,,"Meteorology, Automatic Identification System (AIS)",,,,4,42840,USA,Lemur 2F45,Spire Global Inc.,"584km � 601km, 97.6�",96.5,Sun-Synchronous,Commercial,60e5620d98df02cf35800464
Earth Observation,LEO,14/07/2017,,"Meteorology, Automatic Identification System (AIS)",,,,4,42837,USA,Lemur 2F42,Spire Global Inc.,"585km � 602km, 97.6�",96.5,Sun-Synchronous,Commercial,60e5620d98df02cf35800465
Earth Observation,LEO,05/07/2019,,"Meteorology, Automatic Identification System (AIS)",,,,4,44411,USA,Lemur 2FM108,Spire Global Inc.,"515km � 543km, 97.5�",95.2,Sun-Synchronous,Commercial,60e5620d98df02cf35800466
Earth Observation,LEO,27/12/2018,,"Meteorology, Automatic Identification System (AIS)",,,,4,43885,USA,Lemur 2F89,Spire Global Inc.,"570km � 585km, 97.7�",96.2,Sun-Synchronous,Commercial,60e5620d98df02cf35800467
Earth Observation,LEO,11/12/2019,,"Meteorology, Automatic Identification System (AIS)",,,,4,44860,USA,Lemur 2FM109,Spire Global Inc.,"566km � 576km, 36.9�",96.1,Non-Polar Inclined,Commercial,60e5620d98df02cf35800468
Earth Observation,LEO,18/04/2017,,"Meteorology, Automatic Identification System (AIS)",,,,4,42753,USA,Lemur 2F30,Spire Global Inc.,"476km � 490km, 51.64�",94.2,Non-Polar Inclined,Commercial,60e5620d98df02cf35800469
Earth Observation,LEO,31/01/2018,,"Meteorology, Automatic Identification System (AIS)",,,,4,43182,USA,Lemur2F76,Spire Global Inc.,"571km � 589km, 97.3�",96.2,Sun-Synchronous,Commercial,60e5620d98df02cf3580046a
Earth Observation,LEO,15/02/2017,,"Meteorology, Automatic Identification System (AIS)",,,,4,41997,USA,Lemur 2F22,Spire Global Inc.,"496km � 507km, 97.5�",94.6,Sun-Synchronous,Commercial,60e5620d98df02cf3580046b
Earth Observation,LEO,01/04/2019,,"Meteorology, Automatic Identification System (AIS)",,,,4,44084,USA,Lemur 2FM97,Spire Global Inc.,"493km � 510km, 97.5�",94.6,Sun-Synchronous,Commercial,60e5620d98df02cf3580046c
Earth Observation,LEO,11/12/2019,,"Meteorology, Automatic Identification System (AIS)",,,,4,44855,USA,Lemur 2FM110,Spire Global Inc.,"568km � 579km, 36.9�",96.1,Non-Polar Inclined,Commercial,60e5620d98df02cf3580046d
Earth Observation,LEO,31/01/2018,,"Meteorology, Automatic Identification System (AIS)",,,,4,43184,USA,Lemur2F74,Spire Global Inc.,"571km � 588km, 97.3�",96.2,Sun-Synchronous,Commercial,60e5620d98df02cf3580046e
Earth Observation,LEO,08/12/2017,,"Meteorology, Automatic Identification System (AIS)",,,,4,43046,USA,Lemur 2F51,Spire Global Inc.,"450km � 455km, 51.6�",93.6,Non-Polar Inclined,Commercial,60e5620d98df02cf3580046f
Earth Observation,LEO,29/11/2018,,"Meteorology, Automatic Identification System (AIS)",,,,4,43732,USA,Lemur 2F86,Spire Global Inc.,"476km � 500km, 97.5�",95,Sun-Synchronous,Commercial,60e5620d98df02cf35800470
Earth Observation,LEO,23/06/2017,,"Meteorology, Automatic Identification System (AIS)",,,,4,42774,USA,Lemur 2F37,Spire Global Inc.,"496km � 510km, 97.45�",94.6,Sun-Synchronous,Commercial,60e5620d98df02cf35800471
Earth Observation,LEO,05/07/2019,,"Meteorology, Automatic Identification System (AIS)",,,,4,44396,USA,Lemur 2FM107,Spire Global Inc.,"514km � 547km, 97.5�",95.2,Sun-Synchronous,Commercial,60e5620d98df02cf35800472
Earth Observation,LEO,23/06/2017,,"Meteorology, Automatic Identification System (AIS)",,,,4,42780,USA,Lemur 2F40,Spire Global Inc.,"496km � 508km, 97.45�",94.6,Sun-Synchronous,Commercial,60e5620d98df02cf35800473
Earth Observation,LEO,08/12/2017,,"Meteorology, Automatic Identification System (AIS)",,,,4,43054,USA,Lemur 2F55,Spire Global Inc.,"451km � 454km, 51.6�",93.6,Non-Polar Inclined,Commercial,60e5620d98df02cf35800474
Earth Observation,LEO,23/06/2017,,"Meteorology, Automatic Identification System (AIS)",,,,4,42773,USA,Lemur 2F36,Spire Global Inc.,"496km � 511km, 97.45�",94.6,Sun-Synchronous,Commercial,60e5620d98df02cf35800475
Earth Observation,LEO,23/06/2017,,"Meteorology, Automatic Identification System (AIS)",,,,4,42779,USA,Lemur 2F41,Spire Global Inc.,"496km � 508km, 97.45�",94.6,Sun-Synchronous,Commercial,60e5620d98df02cf35800476
Earth Observation,LEO,21/01/2018,First launch by Rocket Labs.,"Meteorology, Automatic Identification System (AIS)",,,,4,43165,USA,Lemur 2F73,Spire Global Inc.,"494km � 534km, 82.9�",94.9,Polar,Commercial,60e5620d98df02cf35800477
Earth Observation,LEO,11/01/2018,,"Meteorology, Automatic Identification System (AIS)",,,,4,43123,USA,Lemur 2F70,Spire Global Inc.,"493km � 504km, 97.5�",94.5,Sun-Synchronous,Commercial,60e5620d98df02cf35800478
Earth Observation,LEO,08/12/2017,,"Meteorology, Automatic Identification System (AIS)",,,,4,43051,USA,Lemur 2F56,Spire Global Inc.,"451km � 454km, 51.6�",93.6,Non-Polar Inclined,Commercial,60e5620d98df02cf35800479
Earth Observation,LEO,23/06/2017,,"Meteorology, Automatic Identification System (AIS)",,,,4,42782,USA,Lemur 2F38,Spire Global Inc.,"496km � 510km, 97.45�",94.6,Sun-Synchronous,Commercial,60e5620d98df02cf3580047a
Earth Observation,LEO,15/02/2017,,"Meteorology, Automatic Identification System (AIS)",,,,4,41992,USA,Lemur 2F27,Spire Global Inc.,"496km � 507km, 97.5�",94.6,Sun-Synchronous,Commercial,60e5620d98df02cf3580047b
Earth Observation,LEO,14/07/2017,,"Meteorology, Automatic Identification System (AIS)",,,,4,42839,USA,Lemur 2F44,Spire Global Inc.,"585km � 601km, 97.6�",96.5,Sun-Synchronous,Commercial,60e5620d98df02cf3580047c
Earth Observation,LEO,05/07/2019,,"Meteorology, Automatic Identification System (AIS)",,,,4,44403,USA,Lemur 2FM101,Spire Global Inc.,"516km � 545km, 97.5�",95.2,Sun-Synchronous,Commercial,60e5620d98df02cf3580047d
Earth Observation,LEO,27/12/2018,,"Meteorology, Automatic Identification System (AIS)",,,,4,43887,USA,Lemur 2F94,Spire Global Inc.,"570km � 585km, 97.7�",96.2,Sun-Synchronous,Commercial,60e5620d98df02cf3580047e
Earth Observation,LEO,15/02/2017,,"Meteorology, Automatic Identification System (AIS)",,,,4,41996,USA,Lemur 2F28,Spire Global Inc.,"496km � 507km, 97.5�",94.6,Sun-Synchronous,Commercial,60e5620d98df02cf3580047f
Earth Observation,LEO,29/11/2018,,"Meteorology, Automatic Identification System (AIS)",,,,4,43731,USA,Lemur 2F84,Spire Global Inc.,"476km � 500km, 97.5�",95,Sun-Synchronous,Commercial,60e5620d98df02cf35800480
Earth Observation,LEO,11/12/2019,,"Meteorology, Automatic Identification System (AIS)",,,,4,44861,USA,Lemur 2FM108,Spire Global Inc.,"566km � 576km, 36.9�",96.1,Non-Polar Inclined,Commercial,60e5620d98df02cf35800481
Earth Observation,LEO,14/07/2017,,"Meteorology, Automatic Identification System (AIS)",,,,4,42841,USA,Lemur 2F48,Spire Global Inc.,"586km � 596km, 97.6�",96.5,Sun-Synchronous,Commercial,60e5620d98df02cf35800482
Earth Observation,LEO,11/01/2018,,"Meteorology, Automatic Identification System (AIS)",,,,4,43124,USA,Lemur 2F68,Spire Global Inc.,"493km � 504km, 97.5�",94.5,Sun-Synchronous,Commercial,60e5620d98df02cf35800483
Earth Observation,LEO,15/02/2017,,"Meteorology, Automatic Identification System (AIS)",,,,4,41995,USA,Lemur 2F25,Spire Global Inc.,"496km � 507km, 97.5�",94.6,Sun-Synchronous,Commercial,60e5620d98df02cf35800484
Earth Observation,LEO,27/12/2018,,"Meteorology, Automatic Identification System (AIS)",,,,4,43884,USA,Lemur 2F88,Spire Global Inc.,"570km � 585km, 97.7�",96.2,Sun-Synchronous,Commercial,60e5620d98df02cf35800485
Earth Observation,LEO,18/04/2017,,"Meteorology, Automatic Identification System (AIS)",,,,4,42754,USA,Lemur 2F33,Spire Global Inc.,"477km � 489km, 51.64�",94.2,Non-Polar Inclined,Commercial,60e5620d98df02cf35800486
Earth Observation,LEO,08/12/2017,,"Meteorology, Automatic Identification System (AIS)",,,,4,43041,USA,Lemur 2F54,Spire Global Inc.,"451km � 454km, 51.6�",93.6,Non-Polar Inclined,Commercial,60e5620d98df02cf35800487
Earth Observation,LEO,08/12/2017,,"Meteorology, Automatic Identification System (AIS)",,,,4,43048,USA,Lemur 2F53,Spire Global Inc.,"451km � 455km, 51.6�",93.6,Non-Polar Inclined,Commercial,60e5620d98df02cf35800488
Earth Observation,LEO,23/06/2017,,"Meteorology, Automatic Identification System (AIS)",,,,4,42781,USA,Lemur 2F39,Spire Global Inc.,"496km � 509km, 97.45�",94.6,Sun-Synchronous,Commercial,60e5620d98df02cf35800489
Earth Observation,LEO,27/12/2018,,"Meteorology, Automatic Identification System (AIS)",,,,4,43888,USA,Lemur 2F93,Spire Global Inc.,"569km � 584km, 97.7�",96.2,Sun-Synchronous,Commercial,60e5620d98df02cf3580048a
Earth Observation,LEO,15/02/2017,,"Meteorology, Automatic Identification System (AIS)",,,,4,41991,USA,Lemur 2F24,Spire Global Inc.,"496km � 507km, 97.5�",94.6,Sun-Synchronous,Commercial,60e5620d98df02cf3580048b
Earth Observation,LEO,23/06/2017,,"Meteorology, Automatic Identification System (AIS)",,,,4,42771,USA,Lemur 2F34,Spire Global Inc.,"496km � 511km, 97.45�",94.6,Sun-Synchronous,Commercial,60e5620d98df02cf3580048c
Earth Observation,LEO,15/02/2017,,"Meteorology, Automatic Identification System (AIS)",,,,4,41993,USA,Lemur 2F26,Spire Global Inc.,"496km � 507km, 97.5�",94.6,Sun-Synchronous,Commercial,60e5620d98df02cf3580048d
Earth Observation,LEO,17/10/2016,,"Meteorology, Automatic Identification System (AIS)",,,,4,41872,USA,Lemur 2F14,Spire Global Inc.,"498km � 507km, 51.6�",94.6,Non-Polar Inclined,Commercial,60e5620d98df02cf3580048e
Earth Observation,LEO,15/02/2017,,"Meteorology, Automatic Identification System (AIS)",,,,4,41994,USA,Lemur 2F23,Spire Global Inc.,"496km � 507km, 97.5�",94.6,Sun-Synchronous,Commercial,60e5620d98df02cf3580048f
Earth Observation,LEO,18/04/2017,,"Meteorology, Automatic Identification System (AIS)",,,,4,42755,USA,Lemur 2F32,Spire Global Inc.,"476km � 490km, 51.64�",94.2,Non-Polar Inclined,Commercial,60e5620d98df02cf35800490
Earth Observation,LEO,15/02/2017,,"Meteorology, Automatic Identification System (AIS)",,,,4,41998,USA,Lemur 2F29,Spire Global Inc.,"496km � 507km, 97.5�",94.6,Sun-Synchronous,Commercial,60e5620d98df02cf35800491
Earth Observation,LEO,21/01/2018,,"Meteorology, Automatic Identification System (AIS)",,,,4,43167,USA,Lemur 2F72,Spire Global Inc.,"492km � 532km, 82.9�",94.8,Polar,Commercial,60e5620d98df02cf35800492
Earth Observation,LEO,31/01/2018,,"Meteorology, Automatic Identification System (AIS)",,,,4,43185,USA,Lemur 2F75,Spire Global Inc.,"571km � 588km, 97.3�",96.2,Sun-Synchronous,Commercial,60e5620d98df02cf35800493
Earth Observation,LEO,11/12/2019,,"Meteorology, Automatic Identification System (AIS)",,,,4,44863,USA,Lemur 2FM111,Spire Global Inc.,"568km � 576km, 36.9�",96.1,Non-Polar Inclined,Commercial,60e5620d98df02cf35800494
Earth Observation,LEO,27/12/2018,,"Meteorology, Automatic Identification System (AIS)",,,,4,43883,USA,Lemur 2F92,Spire Global Inc.,"569km � 584km, 97.7�",96.2,Sun-Synchronous,Commercial,60e5620d98df02cf35800495
Earth Observation,LEO,16/07/2018,,"Meteorology, Automatic Identification System (AIS)",,,,4,43561,USA,Lemur 2F78,Spire Global Inc.,"480km � 486km, 51.6�",94.2,Non-Polar Inclined,Commercial,60e5620d98df02cf35800496
Earth Observation,LEO,31/01/2018,,"Meteorology, Automatic Identification System (AIS)",,,,4,43183,USA,Lemur 2F77,Spire Global Inc.,"571km � 589km, 97.3�",96.2,Sun-Synchronous,Commercial,60e5620d98df02cf35800497
Earth Observation,LEO,01/04/2019,,"Meteorology, Automatic Identification System (AIS)",,,,4,44087,USA,Lemur 2FM100,Spire Global Inc.,"493km � 508km, 97.5�",94.6,Sun-Synchronous,Commercial,60e5620d98df02cf35800498
Earth Observation,LEO,29/11/2018,One of two Lemur satellites sponsored by ESA.,"Meteorology, Automatic Identification System (AIS)",,,,4,43746,USA,Lemur 2F85,Spire Global Inc.,"476km � 500km, 97.5�",95,Sun-Synchronous,Commercial,60e5620d98df02cf35800499
Earth Observation,LEO,16/07/2018,,"Meteorology, Automatic Identification System (AIS)",,,,4,43558,USA,Lemur 2F81,Spire Global Inc.,"480km � 486km, 51.6�",94.2,Non-Polar Inclined,Commercial,60e5620d98df02cf3580049a
Earth Observation,LEO,05/07/2019,,"Meteorology, Automatic Identification System (AIS)",,,,4,44402,USA,Lemur 2FM102,Spire Global Inc.,"513km � 547km, 97.5�",95.2,Sun-Synchronous,Commercial,60e5620d98df02cf3580049b
Earth Observation,LEO,17/10/2016,,"Meteorology, Automatic Identification System (AIS)",,,,4,41874,USA,Lemur 2F17,Spire Global Inc.,"498km � 507km, 51.6�",94.6,Non-Polar Inclined,Commercial,60e5620d98df02cf3580049c
Earth Observation,LEO,17/10/2016,,"Meteorology, Automatic Identification System (AIS)",,,,4,41871,USA,Lemur 2F15,Spire Global Inc.,"498km � 507km, 51.6�",94.6,Non-Polar Inclined,Commercial,60e5620d98df02cf3580049d
Earth Observation,LEO,23/06/2017,,"Meteorology, Automatic Identification System (AIS)",,,,4,42772,USA,Lemur 2F35,Spire Global Inc.,"496km � 511km, 97.45�",94.6,Sun-Synchronous,Commercial,60e5620d98df02cf3580049e
Earth Observation,LEO,05/07/2019,,"Meteorology, Automatic Identification System (AIS)",,,,4,44414,USA,Lemur 2FM103,Spire Global Inc.,"515km � 544km, 97.5�",95.2,Sun-Synchronous,Commercial,60e5620d98df02cf3580049f
Earth Observation,LEO,09/12/2017,,"Meteorology, Automatic Identification System (AIS)",,,,4,43045,USA,Lemur 2F50,Spire Global Inc.,"450km � 452km, 51.6�",93.6,Non-Polar Inclined,Commercial,60e5620d98df02cf358004a0
Earth Observation,LEO,16/07/2018,,"Meteorology, Automatic Identification System (AIS)",,,,4,43560,USA,Lemur 2F79,Spire Global Inc.,"480km � 486km, 51.6�",94.2,Non-Polar Inclined,Commercial,60e5620d98df02cf358004a1
Earth Observation,LEO,14/07/2017,,"Meteorology, Automatic Identification System (AIS)",,,,4,42845,USA,Lemur 2F46,Spire Global Inc.,"587km � 597km, 97.6�",96.5,Sun-Synchronous,Commercial,60e5620d98df02cf358004a2
Earth Observation,LEO,27/12/2018,,"Meteorology, Automatic Identification System (AIS)",,,,4,43886,USA,Lemur 2F91,Spire Global Inc.,"569km � 584km, 97.7�",96.2,Sun-Synchronous,Commercial,60e5620d98df02cf358004a3
Earth Observation,LEO,10/11/2018,,"Meteorology, Automatic Identification System (AIS)",,,,4,43695,USA,Lemur 2F82,Spire Global Inc.,"495km � 595km, 85�",94.7,Polar,Commercial,60e5620d98df02cf358004a4
Technology Development,Elliptical,25/06/2019,,,,,,6,44360,USA,LEO CP9,California Polytechnic State University,"301km � 846km, 28.5�",96.1,Non-Polar Inclined,Civil,60e5620d98df02cf358004a5
Communications,LEO,11/01/2018,Prototype for low earth  constellation - TeleSat Canada,"Meteorology, Automatic Identification System (AIS)",,,,100,43113,Canada,LEO Vantage 1,"Telesat Canada Ltd. (BCE, Inc.)","494km � 506km, 97.5�",94.6,Sun-Synchronous,Commercial,60e5620d98df02cf358004a6
Technology Development,LEO,25/06/2019,Second from the Planetary Society.,,,,,1,44420,USA,Lightsail-2,The Planetary Society,"696km � 715km, 24�",98.9,Non-Polar Inclined,Civil,60e5620d98df02cf358004a7
Technology Development,LEO,05/07/2019,,,,,,1,44393,Germany,LightSat,German Orbital Systems,"514km � 547km, 97.5�",95.2,Sun-Synchronous,Commercial,60e5620d98df02cf358004a8
Technology Development,LEO,19/09/2015,Technology demonstration and carries amateur radio.,,,,,11,40908,China,LilacSat-2,Harbin Institute/China Amateur Satellite - CAMSAT,"520km � 541km, 97.47�",95.24,Sun-Synchronous,Civil,60e5620d98df02cf358004a9
Technology Development,LEO,04/09/2014,Test satellite for multimedial communications.,,,,,100,40136,China,Ling Qiao,Xinwei Telecom Technology Company,"779km � 808km, 98.47�",100.73,Sun-Synchronous,Commercial,60e5620d98df02cf358004aa
Earth Observation,LEO,21/01/2019,Planned constellation of Earth observation and data relay satellites.,,,,,3,43942,China,Lingque 1A,Beijing ZeroG Technology Co. Ltd.,"516km � 539km, 97.5�",95.2,Sun-Synchronous,Commercial,60e5620d98df02cf358004ab
Technology Development,LEO,23/06/2017,QB50 science satellite.,,,,,4,42768,Lithuania,Lithuanicasat-2 (QB50 LT01),Vilnius University,"482km � 504km, 97�",94.5,Sun-Synchronous,Civil,60e5620d98df02cf358004ac
Earth Observation,LEO,04/12/2017,Suspected to be part of the Yaogan system.,Optical Imaging,,,,,43034,China,LKW-1,"People's Liberation Army (C41)","489km � 502km, 97.4�",94.5,Sun-Synchronous,Military,60e5620d98df02cf358004ad
Earth Observation,LEO,22/12/2017,Suspected to be part of the Yaogan system.,Optical Imaging,,,,,43080,China,LKW-2,"People's Liberation Army (C41)","489km � 502km, 97.4�",94.5,Sun-Synchronous,Military,60e5620d98df02cf358004ae
Earth Observation,LEO,13/01/2018,,Optical Imaging,,,,,43146,China,LKW-3,"People's Liberation Army (C41)","488km � 503km, 97.3�",94.5,Sun-Synchronous,Military,60e5620d98df02cf358004af
Earth Observation,LEO,17/03/2018,,Optical Imaging,,,,,43236,China,LKW-4,"People's Liberation Army (C41)","489km � 502km, 97.3�",94.5,Sun-Synchronous,Military,60e5620d98df02cf358004b0
Space Science,LEO,25/07/2020,X-ray astronomy.,X-ray Astronomy,,,,50,54940,China,Long Xi Yan,Nanjing and Hong Kong Universities,"481km � 500km, 97.5�",94.4,Sun-Synchronous,Civil,60e5620d98df02cf358004b1
Earth Observation,LEO,20/11/2009,"New generation electronic reconnaissance satellite, possibly will work as part of the Liana electronic reconnaissance system. ",Electronic Intelligence,,,,"5,000",36095,Russia,Cosmos 2455,Ministry of Defense,"900km � 911km, 67.2�",103.1,Non-Polar Inclined,Military,60e5620d98df02cf358004b2
Earth Observation,LEO,03/12/2017,Electronic intelligence gathering (ELINT).,Electronic Intelligence,,,,"5,000",43032,Russia,Cosmos 2524,Ministry of Defense,"908km � 916km, 67.1�",101,Non-Polar Inclined,Military,60e5620d98df02cf358004b3
Earth Observation,LEO,24/10/2018,Electronic intelligence gathering (ELINT).,Electronic Intelligence,,,,"5,000",43657,Russia,Cosmos 2528,Ministry of Defense,"244km � 900km, 67.1�",96.1,Non-Polar Inclined,Military,60e5620d98df02cf358004b4
Earth Observation,LEO,23/12/2014,Electronic intelligence gathering (ELINT).,Electronic Intelligence,,,,"5,000",40358,Russia,Cosmos 2502,Ministry of Defense,"901km � 910km, 67.15�",103.11,Non-Polar Inclined,Military,60e5620d98df02cf358004b5
Earth Observation,LEO,07/10/2015,Technology development in earth imaging.,Technology Development,,,,55,40958,China,LQSat,Changchun Institute of Optics,"640km � 663km, 98.04�",97.77,Sun-Synchronous,Commercial,60e5620d98df02cf358004b6
Communications,GEO,11/12/2011,"Seven S-band and Ku-band channels. The 1,148-kg spacecraft will provide TV and data communications links between the International Space Station and the ground, as well as orbital control of spacecraft in low Earth orbit.",,,,,950,37951,Russia,Luch 5A,Russian Federal Space Agency,"35778km � 35793km, 4.85�",1436.8,,Government,60e5620d98df02cf358004b7
Communications,GEO,02/11/2012,"Relay commands and data. Provide secure communication links, command relay to spacecraft, and communication with ISS. Time correction for GLONASS.",,,,,"1,282",38977,Russia,Luch 5B,Russian Federal Space Agency,"35772km � 35801km, 0.22�",1436.09,,Government,60e5620d98df02cf358004b8
Communications,GEO,28/04/2014,"Relay commands and data. Provide secure communication links, command relay to spacecraft, and communication with ISS. Time correction for GLONASS.",,,10,,"1,148",39727,Russia,Luch 5V,Russian Federal Space Agency,"35767km � 35802km, 4.76�",1435.99,,Government,60e5620d98df02cf358004b9
Communications,GEO,27/09/2014,Likely serve as a data relay station for military satellites when they are orbiting the Earth beyond the range of ground stations. ,,,15,,,40258,Russia,Luch/Olympus,Ministry of Defense,"35781km � 35793km, 0.05�",1436.12,,Military,60e5620d98df02cf358004ba
Technology Development,LEO,05/07/2019,Test first space-friendly electronic systems.,,,,,1,44406,Czech Republic,Lucky-7,SkyFox Labs,"515km � 545km, 97.5�",95.2,Sun-Synchronous,Commercial,60e5620d98df02cf358004bb
Communications,LEO,27/12/2018,Will receive transmissions from ground stations for fighting wildfires.,,,,,2,43908,Spain,Lume-1,University of Vigo/Al�n Space,"480km � 513km, 97.3�",94.5,Sun-Synchronous,Commercial/Civil,60e5620d98df02cf358004bc
Earth Observation,LEO,03/06/2018,Experimental remote sensing of night light.,Optical Imaging,,,,5,43485,China,Luojia 1,Wuhan University,"634km � 647km, 98�",97.5,Sun-Synchronous,Civil,60e5620d98df02cf358004bd
Earth Observation,LEO,22/06/2016,"Automatic Identification System (AIS) satellite; real-time data on the locations, speeds and routes of vessels through Canadian oceans.",Automatic Identification System (AIS),,,,85,41605,Canada,M3MSat,Defence Research and Development Canada (DRDC)/Canadian Space Agency,"501km � 515km, 97.5�",94.7,Sun-Synchronous,Government,60e5620d98df02cf358004be
Technology Development,LEO,31/01/2020,A 1U cubesat designed to be 3D printed and then snapped together for use.,,,,,2,45123,USA,MakerSat-1,Northwest Nazarene University,"459km � 473km, 51.6�",93.9,Non-Polar Inclined,Commercial/Civil,60e5620d98df02cf358004bf
